age,nbHomme,nbFemme,tot,proba
0,360898,345437,706335,0.0109273588183802
1,370710,353991,724701,0.0112114901046089
2,379587,367470,747057,0.011557348703919
3,386426,369446,755872,0.0116937212013657
4,397442,378083,775525,0.0119977630269267
5,399771,384352,784123,0.0121307784248901
6,411223,394909,806132,0.0124712687591277
7,410107,389616,799723,0.0123721182955842
8,412933,393066,805999,0.012469211182025
9,408451,390097,798548,0.0123539404527595
10,415140,398272,813412,0.0125838940321183
11,405749,387257,793006,0.0122682029166449
12,404405,386579,790984,0.0122369215564819
13,402875,385592,788467,0.0121979822965757
14,406478,386876,793354,0.012273586652222
15,416541,394394,810935,0.0125455735923933
16,424319,399330,823649,0.012742265587009
17,401424,378404,779828,0.0120643326079265
18,396335,376581,772916,0.0119574004806036
19,382014,363568,745582,0.0115345297097348
20,381346,366844,748190,0.0115748767855534
21,374178,362076,736254,0.0113902208434634
22,358111,350684,708795,0.0109654162595281
23,353571,349109,702680,0.0108708141243169
24,366101,364886,730987,0.011308737696095
25,370296,368806,739102,0.0114342808403696
26,373567,376812,750379,0.0116087417199733
27,372508,384365,756873,0.0117092071764019
28,377725,390146,767871,0.0118793517852413
29,377807,394018,771825,0.0119405221601595
30,384068,403646,787714,0.0121863330066633
31,383998,402687,786685,0.0121704138575002
32,381779,399565,781344,0.0120877858927966
33,377846,395616,773462,0.0119658473760779
34,403288,419884,823172,0.0127348861563474
35,409251,424845,834096,0.0129038859478514
36,414068,429686,843754,0.0130533000806183
37,393201,407752,800953,0.0123911470161582
38,387499,398187,785686,0.0121549588234731
39,391969,398244,790213,0.012224993797488
40,381569,389573,771142,0.0119299558055644
41,394671,399900,794571,0.012292414256237
42,414715,420862,835577,0.0129267977650628
43,436916,444788,881704,0.0136404057275954
44,447829,453758,901587,0.0139480057691987
45,447387,450819,898206,0.0138956999933771
46,436172,442125,878297,0.013587697718656
47,429980,437856,867836,0.0134258607707501
48,422720,434499,857219,0.0132616104241373
49,421648,431892,853540,0.0132046944379653
50,430655,442831,873486,0.0135132691213541
51,430778,444123,874901,0.0135351598852664
52,433599,450472,884071,0.0136770244118219
53,426613,444819,871432,0.013481492705046
54,411432,429697,841129,0.0130126900062227
55,412286,431056,843342,0.0130469262327513
56,407829,430111,837940,0.0129633545672712
57,404652,429421,834073,0.0129035301262472
58,394624,422684,817308,0.0126441671177737
59,390608,420503,811111,0.0125482964011909
60,385071,418557,803628,0.0124325306157804
61,379686,416580,796266,0.0123186367614182
62,378336,414051,792387,0.0122586266743398
63,369763,405659,775422,0.01199616956496
64,374342,411944,786286,0.0121642411261921
65,364805,402010,766815,0.0118630149324559
66,376324,415470,791794,0.0122494526651526
67,368156,409856,778012,0.012036238171697
68,366196,407280,773476,0.0119660639631413
69,356687,398735,755422,0.0116867594743265
70,332847,377526,710373,0.0109898287156791
71,246556,284883,531439,0.00822162945780848
72,239873,278285,518158,0.00801616568712331
73,230408,270573,500981,0.00775042883078274
74,211116,249922,461038,0.00713249046827407
75,184592,223230,407822,0.00630921209911649
76,187257,233347,420604,0.00650695608804035
77,191540,245740,437280,0.00676494222161055
78,182760,240001,422761,0.00654032596631517
79,173649,235001,408650,0.00632202167686872
80,167625,234846,402471,0.0062264294293675
81,154495,226911,381406,0.00590054325140778
82,149989,227137,377126,0.00583432949201221
83,135268,213495,348763,0.00539553957198034
84,128898,213117,342015,0.0052911446074006
85,115284,199979,315263,0.00487727767016925
86,103469,190516,293985,0.00454809627474428
87,86422,166739,253161,0.00391652839774321
88,74443,153619,228062,0.00352823420450271
89,62441,135606,198047,0.00306388701098451
90,51398,121875,173273,0.00268062073171681
91,42410,105558,147968,0.00228913961454279
92,32843,88581,121424,0.00187849054225402
93,25378,74255,99633,0.00154137277800431
94,19076,61237,80313,0.00124248263045236
95,14654,49253,63907,0.000988673533105712
96,10283,37484,47767,0.000738979589964488
97,4207,17039,21246,0.000328686339279953
98,2382,10773,13155,0.000203514487114176
99,1306,6937,8243,0.000127523368854592
100,775,4256,5031,0.0000778321082988536
101,628,3266,3894,0.0000602421446463399
102,635,3371,4006,0.0000619748411538874
103,334,2026,2360,0.0000365103906947514
104,213,1184,1397,0.000021612294830749
105,321,1627,1948,0.0000301365428277016
