age,nbHomme,nbFemme,tot,proba
0,1958,1838,3796,0.00972702323877075
1,1947,1907,3854,0.00987564477403121
2,2091,2125,4216,0.0108032481492775
3,2247,2253,4500,0.0115309811840011
4,2311,2310,4621,0.0118410364558376
5,2311,2368,4679,0.0119896579910981
6,2423,2255,4678,0.011987095550835
7,2507,2459,4966,0.012725078346611
8,2660,2483,5143,0.0131786302731818
9,2758,2667,5425,0.0139012384273792
10,2756,2701,5457,0.0139832365157987
11,3016,2798,5814,0.0148980276897295
12,2884,2775,5659,0.0145008494489472
13,2655,2851,5506,0.0141087960886912
14,2860,2761,5621,0.014403476718949
15,3092,2892,5984,0.0153336425344584
16,2964,2869,5833,0.0149467140547286
17,2816,2725,5541,0.0141984814979001
18,2581,2515,5096,0.0130581955808155
19,2388,2465,4853,0.0124355225968795
20,2243,2085,4328,0.011090241458746
21,2044,1939,3983,0.0102061995679726
22,1849,1818,3667,0.00939646844482938
23,1755,1686,3441,0.00881735694536621
24,1791,1765,3556,0.00911203757562402
25,1832,1896,3728,0.00955277730087917
26,1809,1860,3669,0.0094015933253556
27,1663,2060,3723,0.00953996509956362
28,1557,2065,3622,0.00928115863298937
29,1501,2073,3574,0.00915816150036002
30,1427,1900,3327,0.00852523875537151
31,1465,2153,3618,0.00927090887193692
32,1568,2107,3675,0.00941696796693427
33,1447,2286,3733,0.00956558950219473
34,1598,2475,4073,0.0104368191916526
35,1539,2600,4139,0.0106059402490179
36,1616,2323,3939,0.0100934521963957
37,1654,2287,3941,0.0100985770769219
38,1484,2246,3730,0.0095579021814054
39,1821,2452,4273,0.0109493072442749
40,1802,2766,4568,0.0117052271218927
41,2103,3034,5137,0.0131632556316031
42,2331,3121,5452,0.0139704243144832
43,2382,3460,5842,0.0149697760170966
44,2539,3409,5948,0.0152413946849864
45,2626,3377,6003,0.0153823288994575
46,2452,3298,5750,0.0147340315128904
47,2513,3256,5769,0.0147827178778895
48,2702,3418,6120,0.0156821344102416
49,2535,3302,5837,0.014956963815781
50,2815,3653,6468,0.0165738636218043
51,2926,3519,6445,0.0165149274957528
52,2718,3414,6132,0.0157128836933989
53,2991,3421,6412,0.0164303669670701
54,3069,3594,6663,0.017073539473111
55,2750,3108,5858,0.0150107750613064
56,2873,3366,6239,0.0159870648015518
57,2707,2913,5620,0.0144009142786859
58,2623,2948,5571,0.0142753547057934
59,2661,2898,5559,0.0142446054226361
60,2548,2992,5540,0.014195919057637
61,2475,2875,5350,0.0137090554076458
62,2219,2832,5051,0.0129428857689755
63,2268,2593,4861,0.0124560221189844
64,2270,2623,4893,0.0125380202074039
65,2182,2459,4641,0.0118922852610999
66,2198,2443,4641,0.0118922852610999
67,2090,2499,4589,0.0117590383674181
68,1894,2348,4242,0.0108698715961184
69,1828,2166,3994,0.0102343864108668
70,1780,2068,3848,0.00986027013245254
71,1827,2123,3950,0.0101216390392899
72,1511,1910,3421,0.00876610814010398
73,1286,1548,2834,0.00726195570565761
74,1244,1626,2870,0.00735420355512962
75,1130,1547,2677,0.00685965258434913
76,1201,1391,2592,0.00664184516198466
77,1110,1321,2431,0.00622929227962373
78,1022,1192,2214,0.00567324274252857
79,841,1288,2129,0.0054554353201641
80,837,1363,2200,0.00563736857884501
81,858,1190,2048,0.00524787765885208
82,783,1143,1926,0.00493525994675249
83,645,982,1627,0.00416909030808219
84,631,933,1564,0.00400765657150618
85,481,821,1302,0.003336297222571
86,470,762,1232,0.0031569264041532
87,338,667,1005,0.00257525246442692
88,357,716,1073,0.0027494984023185
89,287,576,863,0.00221138594706511
90,298,526,824,0.00211145077680377
91,251,503,754,0.00193207995838597
92,194,417,611,0.00156565100076104
93,147,335,482,0.00123509620681968
94,114,272,386,0.000989101941560987
95,95,198,293,0.00075079499709163
96,93,164,257,0.000658547147619621
97,80,133,213,0.000545799776042721
98,44,104,148,0.000379241158940482
99,72,231,303,0.000776419399722744
