age,nbHomme,nbFemme,tot,proba
0,3030,2902,5932,0.0220766654261258
1,2702,2784,5486,0.0204168217342761
2,2807,2711,5518,0.020535913658355
3,2772,2922,5694,0.021190919240789
4,3135,2956,6091,0.0226684034238928
5,2876,2912,5788,0.0215407517677707
6,3008,2970,5978,0.0222478600669892
7,3048,2868,5916,0.0220171194640863
8,3105,2923,6028,0.0224339411983625
9,3132,3064,6196,0.0230591737997767
10,2995,2976,5971,0.0222218087085969
11,3082,2915,5997,0.022318570896911
12,2958,2701,5659,0.0210606624488277
13,2767,2946,5713,0.0212616300707108
14,2976,2972,5948,0.0221362113881652
15,2804,2787,5591,0.02080759211016
16,2821,2899,5720,0.0212876814291031
17,2565,2507,5072,0.0188760699665054
18,2393,2280,4673,0.0173911425381466
19,2128,2167,4295,0.0159843691849646
20,1938,2016,3954,0.0147152958689989
21,1778,1900,3678,0.0136881280238184
22,1828,1876,3704,0.0137848902121325
23,1710,1939,3649,0.0135802009676219
24,1705,1897,3602,0.013405284704131
25,1704,1746,3450,0.0128395980647562
26,1829,2205,4034,0.0150130256791961
27,1730,1919,3649,0.0135802009676219
28,1686,2069,3755,0.0139746929661332
29,1745,1963,3708,0.0137997767026424
30,1785,2067,3852,0.0143356903609974
31,1704,2151,3855,0.0143468552288798
32,1747,2066,3813,0.0141905470785262
33,1721,2004,3725,0.0138630442873093
34,1869,2056,3925,0.0146073688128024
35,1722,1899,3621,0.0134759955340528
36,2004,2094,4098,0.0152512095273539
37,1718,2056,3774,0.0140454037960551
38,1676,1865,3541,0.0131782657238556
39,1626,1725,3351,0.0124711574246371
40,1695,1769,3464,0.0128917007815408
41,1760,1949,3709,0.0138034983252698
42,1719,1749,3468,0.0129065872720506
43,1572,1746,3318,0.0123483438779308
44,1683,1850,3533,0.0131484927428359
45,1579,1633,3212,0.0119538518794194
46,1721,1718,3439,0.0127986602158541
47,1477,1498,2975,0.0110718273167101
48,1479,1540,3019,0.0112355787123186
49,1457,1391,2848,0.010599181243022
50,1406,1318,2724,0.0101377000372162
51,1478,1414,2892,0.0107629326386304
52,1452,1346,2798,0.0104131001116487
53,1283,1301,2584,0.00961667286937105
54,1215,1308,2523,0.00938965388909565
55,1164,1101,2265,0.00842947525120953
56,1144,1238,2382,0.008864905098623
57,1131,1049,2180,0.00811313732787495
58,1012,1175,2187,0.00813918868626721
59,1011,989,2000,0.00744324525493115
60,1021,964,1985,0.00738742091551917
61,963,921,1884,0.00701153703014514
62,983,877,1860,0.00692221808708597
63,760,782,1542,0.00573874209155192
64,759,770,1529,0.00569036099739486
65,646,641,1287,0.0047897283215482
66,650,661,1311,0.00487904726460737
67,536,587,1123,0.00417938221064384
68,514,486,1000,0.00372162262746557
69,477,508,985,0.00366579828805359
70,510,431,941,0.00350204689244511
71,434,369,803,0.00298846296985486
72,380,372,752,0.00279866021585411
73,315,369,684,0.00254558987718645
74,289,338,627,0.00233345738742092
75,203,210,413,0.00153703014514328
76,225,280,505,0.00187941942687012
77,179,251,430,0.0016002977298102
78,165,181,346,0.00128768142910309
79,169,178,347,0.00129140305173055
80,151,209,360,0.00133978414588761
81,125,182,307,0.00114253814663193
82,115,170,285,0.00106066244882769
83,106,134,240,0.000893189430591738
84,84,155,239,0.000889467807964272
85,92,115,207,0.000770375883885374
86,97,160,257,0.000956457015258653
87,59,74,133,0.000494975809452922
88,57,81,138,0.000513583922590249
89,41,81,122,0.0004540379605508
90,33,73,106,0.000394491998511351
91,27,70,97,0.000360997394864161
92,13,72,85,0.000316337923334574
93,17,38,55,0.000204689244510607
94,12,37,49,0.000182359508745813
95,9,36,45,0.000167473018235951
96,18,31,49,0.000182359508745813
97,3,11,14,0.000052102716784518
98,3,4,7,0.000026051358392259
99,9,18,27,0.000100483810941571
