age,nbHomme,nbFemme,tot,proba
0,13199,12780,25979,0.0100840290468479
1,13946,13271,27217,0.0105645720993133
2,14466,14215,28681,0.0111328394893046
3,15060,14356,29416,0.0114181376666568
4,15543,14749,30292,0.0117581665147664
5,15496,15301,30797,0.0119541877114506
6,16240,15815,32055,0.0124424939796262
7,16149,15517,31666,0.0122914994340616
8,16504,15550,32054,0.0124421058188407
9,16360,15572,31932,0.0123947502030081
10,16835,15918,32753,0.0127134302079144
11,16501,15402,31903,0.0123834935402282
12,16217,15672,31889,0.012378059289231
13,16132,15786,31918,0.0123893159520109
14,16379,15805,32184,0.0124925667209574
15,16875,15977,32852,0.0127518581256803
16,16636,15964,32600,0.0126540416077309
17,15705,14565,30270,0.0117496269774851
18,15288,14322,29610,0.0114934408590464
19,14177,13278,27455,0.0106569543662654
20,13555,12620,26175,0.0101601085608085
21,13187,12376,25563,0.0099225541600744
22,12438,11796,24234,0.00940668847612734
23,12169,11820,23989,0.0093115890836766
24,12827,12181,25008,0.00970712492411457
25,13128,12859,25987,0.010087134333132
26,13397,13119,26516,0.0102924713886685
27,13318,13487,26805,0.0104046498556818
28,13308,14267,27575,0.010703533660527
29,13873,14129,28002,0.0108692783159411
30,13790,14703,28493,0.0110598652616281
31,13862,14625,28487,0.0110575362969151
32,13772,14715,28487,0.0110575362969151
33,13861,14569,28430,0.0110354111321408
34,15172,15388,30560,0.011862193605284
35,14934,15534,30468,0.0118264828130167
36,15051,15992,31043,0.0120496752646868
37,14329,15015,29344,0.0113901900900999
38,14296,14673,28969,0.0112446297955324
39,14816,14807,29623,0.0114984869492581
40,14199,14593,28792,0.0111759253364966
41,15368,15334,30702,0.0119173124368268
42,16070,16497,32567,0.012641232301809
43,17105,17154,34259,0.0132980003508974
44,17893,18196,36089,0.0140083345883865
45,18023,18023,36046,0.0139916436746095
46,17292,17411,34703,0.0134703437396652
47,17136,17439,34575,0.0134206591591195
48,16892,17305,34197,0.0132739343821955
49,17334,17427,34761,0.013492857065225
50,17578,17706,35284,0.0136958651560484
51,17111,17512,34623,0.0134392908768242
52,17119,17975,35094,0.0136221146068009
53,16994,17671,34665,0.0134555936298157
54,16737,17007,33744,0.013098097546358
55,16972,17100,34072,0.0132254142840064
56,16677,17244,33921,0.0131668020053939
57,16652,17550,34202,0.0132758751861231
58,16589,17295,33884,0.0131524400563299
59,16593,17679,34272,0.013303046441109
60,16463,17466,33929,0.013169907291678
61,16304,17373,33677,0.0130720907737287
62,16191,17410,33601,0.0130425905540297
63,15964,17113,33077,0.0128391943024207
64,16260,17708,33968,0.013185045562313
65,16133,17375,33508,0.0130064916009769
66,16477,18029,34506,0.0133938760649191
67,16545,17751,34296,0.0133123622999613
68,16226,17484,33710,0.0130849000796506
69,15548,17221,32769,0.0127196407804827
70,14734,16589,31323,0.0121583602846305
71,10841,12236,23077,0.00895758644728854
72,10272,11837,22109,0.00858184680691175
73,10098,11617,21715,0.00842891145741954
74,8867,10348,19215,0.00745850949363649
75,7902,9517,17419,0.00676137272285475
76,8163,9955,18118,0.00703269711192849
77,8459,10659,19118,0.00742085789744171
78,8140,10697,18837,0.0073117847167125
79,7887,10306,18193,0.00706180917084198
80,7926,10326,18252,0.00708471065718726
81,7383,10153,17536,0.0068067875347598
82,6966,10394,17360,0.00673847123650947
83,6285,9515,15800,0.00613294041110885
84,5970,9581,15551,0.00603628837551606
85,5333,9141,14474,0.00561823920951832
86,4937,8551,13488,0.00523551267500229
87,4254,7610,11864,0.00460513955932882
88,3654,6989,10643,0.00413119524021718
89,3136,6020,9156,0.00355400015215903
90,2535,5681,8216,0.0031891290137766
91,2150,4860,7010,0.00272100710644766
92,1665,4314,5979,0.00232081333658353
93,1264,3334,4598,0.00178476329178978
94,1008,2778,3786,0.00146957673395305
95,787,2401,3188,0.00123745658421614
96,494,1843,2337,0.000907131755744391
97,256,846,1102,0.000427753185635567
98,107,541,648,0.000251528189012566
99,208,1158,1366,0.000530227633011056
