age,nbHomme,nbFemme,tot,proba
0,13664,13260,26924,0.00957664499436762
1,14632,14015,28647,0.0101895018999275
2,15187,14737,29924,0.0106437202797302
3,15658,14933,30591,0.0108809666848425
4,15977,15299,31276,0.011124615541667
5,16437,15421,31858,0.0113316281470273
6,16939,16336,33275,0.0118356433734803
7,16878,15928,32806,0.0116688239372019
8,17230,16311,33541,0.0119302573821157
9,17464,16195,33659,0.0119722290100067
10,17653,16782,34435,0.0122482458171538
11,17224,16252,33476,0.0119071374175996
12,17525,16758,34283,0.0121941806693621
13,17262,16410,33672,0.0119768530029099
14,17558,16573,34131,0.0121401155215704
15,18074,16805,34879,0.0124061729593875
16,18278,17034,35312,0.0125601874922415
17,17214,15677,32891,0.0116990577369538
18,16788,15264,32052,0.0114006323488141
19,15912,14305,30217,0.010747937965934
20,16095,14320,30415,0.0108183649347679
21,15196,13909,29105,0.0103524087268262
22,14088,13431,27519,0.00978828159263121
23,13837,13088,26925,0.00957700068612941
24,14735,13366,28101,0.00999529419799155
25,14768,14145,28913,0.010284115908563
26,14557,13968,28525,0.0101461075049895
27,14774,14637,29411,0.0104612504059332
28,14904,15082,29986,0.0106657731689611
29,14888,15282,30170,0.01073122045313
30,15443,15543,30986,0.0110214649307486
31,15479,15777,31256,0.0111175017064312
32,15427,15576,31003,0.011027511690699
33,15354,15459,30813,0.0109599302559594
34,16377,16693,33070,0.0117627265623138
35,16797,17121,33918,0.0120643531763096
36,16766,17271,34037,0.0121066804959624
37,15916,16155,32071,0.0114073904922881
38,15668,15525,31193,0.0110950931254386
39,15829,16010,31839,0.0113248700035534
40,15485,15734,31219,0.0111043411112451
41,15828,16140,31968,0.011370754240824
42,17102,17633,34735,0.0123549533456901
43,18509,18522,37031,0.0131716216307542
44,18809,18996,37805,0.0134469270543778
45,19059,19309,38368,0.0136471815162642
46,18876,18760,37636,0.0133868151466357
47,19049,18647,37696,0.013408156652343
48,18489,18796,37285,0.0132619673382483
49,18479,18524,37003,0.0131616622614242
50,19101,19153,38254,0.0136066326554204
51,19242,19436,38678,0.0137574459624183
52,19096,19479,38575,0.0137208097109542
53,18876,19158,38034,0.0135283804678271
54,18280,18707,36987,0.0131559711932356
55,18402,19464,37866,0.0134686242518468
56,18306,19476,37782,0.0134387461438567
57,18553,19429,37982,0.0135098844962142
58,18396,19217,37613,0.0133786342361146
59,18680,19732,38412,0.0136628319537828
60,18210,19378,37588,0.0133697419420699
61,18016,19386,37402,0.0133035832743774
62,18129,19559,37688,0.0134053111182487
63,18134,19118,37252,0.0132502295101093
64,18253,19613,37866,0.0134686242518468
65,18297,19228,37525,0.0133473333610773
66,18668,19944,38612,0.0137339703061403
67,18389,20101,38490,0.0136905759112023
68,18631,19754,38385,0.0136532282762146
69,17811,19453,37264,0.0132544978112507
70,16710,18084,34794,0.0123759391596355
71,12492,14022,26514,0.00943081137203473
72,12024,13292,25316,0.00900469264141326
73,11186,12812,23998,0.00853589089937729
74,10431,12057,22488,0.00799879633907811
75,8887,10572,19459,0.00692140599262366
76,9602,11593,21195,0.00753888689108683
77,9572,12176,21748,0.00773558443535533
78,9303,11804,21107,0.00750758601604952
79,8766,11541,20307,0.0072230326066195
80,8451,11827,20278,0.00721271754552766
81,7768,11020,18788,0.00668273682046423
82,7540,11152,18692,0.00664859041133262
83,6785,10776,17561,0.00624630302875092
84,6437,10471,16908,0.00601403630830366
85,5758,10097,15855,0.00563949288314138
86,5175,9558,14733,0.00524040672641577
87,4372,8538,12910,0.00459198064467709
88,3774,7763,11537,0.0041036158557428
89,3179,6971,10150,0.00361027138214349
90,2777,6214,8991,0.00319802463023174
91,2171,5440,7611,0.00270716999896494
92,1699,4381,6080,0.00216260591166822
93,1284,3805,5089,0.00181011537573677
94,1029,3203,4232,0.00150528753588485
95,810,2578,3388,0.00120508368893617
96,529,1937,2466,0.000877135884568064
97,198,835,1033,0.000367429589926525
98,144,551,695,0.000247205774442338
99,265,1129,1394,0.000495834315931825
