age,nbHomme,nbFemme,tot,proba
0,27103,26003,53106,0.00891492296933109
1,28639,27714,56353,0.00945999800570021
2,30335,28673,59008,0.00990569379306085
3,30814,29607,60421,0.0101428946019274
4,32318,30444,62762,0.0105358790984288
5,32600,31304,63904,0.0107275870416174
6,33544,32595,66139,0.011102777280695
7,34547,32754,67301,0.0112978426309448
8,34751,33134,67885,0.0113958789171288
9,34354,33014,67368,0.0113090899445994
10,35072,33652,68724,0.0115367221433418
11,34972,33201,68173,0.0114442255788086
12,34975,33151,68126,0.011436335672215
13,34956,33184,68140,0.0114386858571578
14,35130,33244,68374,0.0114779675197726
15,37200,34420,71620,0.0120228746857887
16,37736,35091,72827,0.0122254942019259
17,35488,33193,68681,0.0115295037181605
18,34298,32706,67004,0.0112479851360875
19,32711,30953,63664,0.0106872981568842
20,32544,31949,64493,0.0108264626795667
21,31784,30448,62232,0.0104469078113097
22,30206,29140,59346,0.00996243397239338
23,29348,28012,57360,0.00962904345122644
24,29698,29114,58812,0.00987279120386209
25,29987,29346,59333,0.00996025165780367
26,29532,29661,59193,0.00993674980837599
27,29929,30578,60507,0.0101573314522901
28,30512,31107,61619,0.0103440032848871
29,30741,31529,62270,0.0104532868847258
30,31029,32416,63445,0.0106505345495652
31,31193,32309,63502,0.0106601031596894
32,31110,32755,63865,0.0107210400978483
33,31576,33010,64586,0.0108420746224008
34,33812,35355,69167,0.0116110887097451
35,35304,36446,71750,0.0120446978316858
36,35614,36881,72495,0.0121697612447117
37,34023,35363,69386,0.0116478523170641
38,33653,34106,67759,0.0113747272526439
39,33969,34655,68624,0.0115199351080363
40,33141,34729,67870,0.011393360861833
41,34606,35583,70189,0.0117826522105672
42,36992,37752,74744,0.012547301668732
43,40000,41128,81128,0.0136189860026342
44,41263,42171,83434,0.0140060950367787
45,41043,41907,82950,0.0139248457859002
46,39891,41309,81200,0.0136310726680542
47,39981,40415,80396,0.0134961049041981
48,38889,40208,79097,0.0132780413155798
49,39185,40274,79459,0.0133388103833857
50,40024,41227,81251,0.01363963405606
51,39584,41529,81113,0.0136164679473384
52,40254,42594,82848,0.0139077230098886
53,39309,41382,80691,0.0135456266583493
54,38593,40376,78969,0.0132565539103888
55,38910,41085,79995,0.0134287888926231
56,38351,41447,79798,0.0133957184330713
57,38894,41493,80387,0.0134945940710206
58,38581,41049,79630,0.0133675162137581
59,38269,42114,80383,0.0134939225896084
60,38347,41885,80232,0.0134685741662971
61,38446,42049,80495,0.0135127240691505
62,38671,42589,81260,0.0136411448892375
63,38205,42286,80491,0.0135120525877383
64,39056,43101,82157,0.0137917245959277
65,39047,42402,81449,0.0136728723859648
66,40198,44131,84329,0.0141563390027628
67,39572,43497,83069,0.0139448223579137
68,39338,43552,82890,0.0139147735647169
69,38582,42451,81033,0.013603038319094
70,35726,40150,75876,0.0127373309083901
71,25909,30218,56127,0.00942205930590981
72,25734,29712,55446,0.00930773959547945
73,25225,29374,54599,0.00916555340644199
74,23008,26688,49696,0.00834248506541404
75,20209,24169,44378,0.00744975052786833
76,19410,23937,43347,0.00727667619386877
77,20780,26061,46841,0.00786321520744243
78,19882,25182,45064,0.00756490959006396
79,18806,25044,43850,0.00736111498145536
80,18964,25385,44349,0.00744488228762973
81,17763,24643,42406,0.00711871019164415
82,17283,24779,42062,0.00706096279019328
83,15664,23073,38737,0.00650279386628589
84,14693,23830,38523,0.00646686961073215
85,13559,21982,35541,0.00596628021792258
86,12105,21201,33306,0.00559108997884498
87,10221,19108,29329,0.00492346958474582
88,8669,17537,26206,0.00439921047215551
89,7534,15864,23398,0.00392783052077748
90,6046,14125,20171,0.00338611289146947
91,5123,12346,17469,0.00293252719751525
92,4074,10507,14581,0.00244771761789283
93,3280,9008,12288,0.00206279089833805
94,2445,7444,9889,0.00166006992135945
95,1759,6072,7831,0.00131459273477256
96,1265,4592,5857,0.000983216657842282
97,539,2021,2560,0.000429748103820427
98,295,1338,1633,0.000274132286538577
99,529,2828,3357,0.000563540775205146
