age,nbHomme,nbFemme,tot,proba
0,44777,42776,87553,0.0110153294665882
1,46962,44428,91390,0.0114980749940207
2,48161,46784,94945,0.0119453411785458
3,48142,46386,94528,0.0118928770438209
4,50239,47270,97509,0.0122679264098038
5,50221,48448,98669,0.0124138698061607
6,51497,49481,100978,0.0127043726528748
7,51385,48692,100077,0.0125910148941527
8,51606,48975,100581,0.0126544247836043
9,51268,48715,99983,0.0125791884465168
10,51366,49752,101118,0.0127219865110558
11,51162,48364,99526,0.0125216917808831
12,50517,48151,98668,0.012413743992888
13,50901,47925,98826,0.012433622489978
14,50529,48005,98534,0.0123968850143433
15,51313,49095,100408,0.0126326590874235
16,52071,49354,101425,0.0127606111857813
17,48826,46469,95295,0.0119893758239983
18,48939,46895,95834,0.0120571891779952
19,47352,44962,92314,0.0116143264580154
20,47690,45437,93127,0.011716612648738
21,46487,45749,92236,0.0116045130227431
22,44820,43014,87834,0.011050682996223
23,44268,42441,86709,0.0109091430644112
24,45188,44638,89826,0.0113013030354843
25,45764,45244,91008,0.0114500143238411
26,46291,46289,92580,0.0116477927885593
27,45567,47010,92577,0.0116474153487412
28,46937,47191,94128,0.0118425517347323
29,45977,48040,94017,0.0118285864614602
30,47965,49624,97589,0.0122779914716215
31,48052,49308,97360,0.0122491802321683
32,48113,49126,97239,0.012233956826169
33,47595,49019,96614,0.012155323530718
34,50268,52061,102329,0.0128743463843216
35,51082,52147,103229,0.0129875783297709
36,51227,53036,104263,0.013117669253765
37,49556,51286,100842,0.0126872620477846
38,47367,49363,96730,0.0121699178703537
39,48566,48972,97538,0.0122715749947127
40,47391,48081,95472,0.01201164477327
41,48644,48310,96954,0.0121981000434433
42,51894,51778,103672,0.0130433136095866
43,54734,54663,109397,0.0137635945959173
44,55907,55820,111727,0.0140567395213585
45,56231,55761,111992,0.0140900800386297
46,54289,54209,108498,0.0136504884637407
47,53856,54200,108056,0.0135948789971978
48,53302,53833,107135,0.0134790049730212
49,52801,53143,105944,0.0133291613652099
50,53691,54397,108088,0.0135989050219249
51,54035,54207,108242,0.013618280265924
52,54156,54859,109015,0.0137155339257377
53,52353,54298,106651,0.013418111349024
54,49840,51557,101397,0.0127570884141451
55,49797,52130,101927,0.0128237694486875
56,48840,50863,99703,0.0125439607301548
57,49662,51008,100670,0.0126656221648765
58,46963,49906,96869,0.012187405915262
59,46431,49463,95894,0.0120647379743585
60,45933,49706,95639,0.0120326555898145
61,44809,49425,94234,0.0118558879416408
62,44743,48734,93477,0.0117606472941906
63,44298,48102,92400,0.0116251463994695
64,44342,48900,93242,0.011731081175101
65,43287,47573,90860,0.0114313939594783
66,44678,49989,94667,0.0119103650887292
67,43581,48061,91642,0.0115297799387466
68,44069,48451,92520,0.0116402439921961
69,43205,48015,91220,0.0114766867376581
70,40352,45613,85965,0.0108155379895064
71,31672,36254,67926,0.00854599236288272
72,30588,35084,65672,0.00826240924616839
73,29373,33373,62746,0.00789427961018519
74,26878,31053,57931,0.00728848870203102
75,24150,29218,53368,0.00671440273860267
76,22894,27940,50834,0.00639559190552631
77,23766,29323,53089,0.00667930083551336
78,22543,28851,51394,0.00646604733825037
79,21093,28064,49157,0.0061846030471723
80,20432,28036,48468,0.00609791770226717
81,18762,27506,46268,0.0058211285022798
82,17945,27130,45075,0.00567103326792301
83,16408,26366,42774,0.00538153692739077
84,15672,25190,40862,0.0051409819499472
85,13780,24237,38017,0.00478304318905445
86,12425,23189,35614,0.00448071389470461
87,10453,20574,31027,0.00390360841273094
88,9075,18758,27833,0.00350176081965837
89,7574,16774,24348,0.00306330156422384
90,6275,15099,21374,0.00268913289115
91,5234,12834,18068,0.00227319421153262
92,4003,10819,14822,0.00186480432827853
93,3098,8840,11938,0.00150195884974964
94,2259,7448,9707,0.0012212694383079
95,1829,6052,7881,0.000991534402318386
96,1177,4536,5713,0.000718771227058107
97,506,2057,2563,0.000322459417985284
98,299,1289,1588,0.000199791477081791
99,402,2723,3125,0.000393166477254785
